Country;wine_unit;Year
France;4293466;2013
Italy;4107370;2013
United States;3217000;2013
Spain;3200000;2013
Chile;1832000;2013
China;1700000;2013
Argentina;1498400;2013
Australia;1231000;2013
South Africa;1097200;2013
Germany;840900;2013
Portugal;630800;2013
Russia;573200;2013
Greece;311530;2013
Brazil;273100;2013
Hungary;261800;2013
New Zealand;248400;2013
Austria;239195;2013
Serbia;230580;2013
Ukraine;168247;2013
Bulgaria;130500;2013
Moldova;120104;2013
Romania;106042;2013
Georgia;98800;2013
Switzerland;83863;2013
Japan;80000;2013
Macedonia;78077;2013
Peru;70000;2013
Uruguay;67000;2013
Czech Republic;50000;2013
Algeria;49800;2013
Canada;47376;2013
Croatia;46000;2013
Turkmenistan;39000;2013
Uzbekistan;35840;2013
Morocco;34500;2013
Slovakia;32527;2013
Turkey;30000;2013
Tunisia;28500;2013
Belarus;28150;2013
Slovenia;25000;2013
Kazakhstan;20902;2013
Albania;18000;2013
Mexico;17951;2013
Montenegro;16000;2013
Lebanon;15000;2013
Cuba;11620;2013
Cyprus;11183;2013
Luxembourg;10089;2013
Bolivia;8389;2013
Madagascar;8350;2013
Azerbaijan;7874;2013
Armenia;6422;2013
Lithuania;5743;2013
Israel;5200;2013
Egypt;4500;2013
Bosnia and Herzegovina;4163;2013
Belgium;2900;2013
Malta;2450;2013
Latvia;2200;2013
Kyrgyzstan;1752;2013
Zimbabwe;1750;2013
Paraguay;1450;2013
Ethiopia;1261;2013
Jordan;650;2013
United Kingdom;425;2013
Tajikistan;150;2013
Panama;112;2013
Syria;85;2013
Liechtenstein;63;2013
Vietnam;0;2013
Libya;0;2013
Estonia;0;2013